date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:57:49	9343/9343	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Feb%202022%2009:17:28%20GMT	https://mobilekit.bragherstudio.com/view29/assets/img/sample/avatar/avatar1.jpg	C:/My%20Web%20Sites/mobile-app/mobilekit.bragherstudio.com/view29/assets/img/sample/avatar/avatar1.jpg	(from https://mobilekit.bragherstudio.com/view29/index.html)
09:57:49	43110/43110	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Feb%202022%2009:17:14%20GMT	https://mobilekit.bragherstudio.com/view29/assets/img/logo.png	C:/My%20Web%20Sites/mobile-app/mobilekit.bragherstudio.com/view29/assets/img/logo.png	(from https://mobilekit.bragherstudio.com/view29/index.html)
09:57:49	10332/10332	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Feb%202022%2009:17:27%20GMT	https://mobilekit.bragherstudio.com/view29/assets/img/sample/avatar/avatar7.jpg	C:/My%20Web%20Sites/mobile-app/mobilekit.bragherstudio.com/view29/assets/img/sample/avatar/avatar7.jpg	(from https://mobilekit.bragherstudio.com/view29/index.html)
09:57:49	11271/11271	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Feb%202022%2009:17:28%20GMT	https://mobilekit.bragherstudio.com/view29/assets/img/sample/avatar/avatar3.jpg	C:/My%20Web%20Sites/mobile-app/mobilekit.bragherstudio.com/view29/assets/img/sample/avatar/avatar3.jpg	(from https://mobilekit.bragherstudio.com/view29/index.html)
09:57:50	14371/14371	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Feb%202022%2009:17:28%20GMT	https://mobilekit.bragherstudio.com/view29/assets/img/sample/avatar/avatar10.jpg	C:/My%20Web%20Sites/mobile-app/mobilekit.bragherstudio.com/view29/assets/img/sample/avatar/avatar10.jpg	(from https://mobilekit.bragherstudio.com/view29/index.html)
09:57:50	14266/14266	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Feb%202022%2009:17:28%20GMT	https://mobilekit.bragherstudio.com/view29/assets/img/sample/avatar/avatar2.jpg	C:/My%20Web%20Sites/mobile-app/mobilekit.bragherstudio.com/view29/assets/img/sample/avatar/avatar2.jpg	(from https://mobilekit.bragherstudio.com/view29/index.html)
09:57:50	13461/13461	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Feb%202022%2009:17:27%20GMT	https://mobilekit.bragherstudio.com/view29/assets/img/sample/avatar/avatar5.jpg	C:/My%20Web%20Sites/mobile-app/mobilekit.bragherstudio.com/view29/assets/img/sample/avatar/avatar5.jpg	(from https://mobilekit.bragherstudio.com/view29/index.html)
09:57:51	1500/1500	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Feb%202022%2009:17:16%20GMT	https://mobilekit.bragherstudio.com/view29/assets/img/icon/72x72.png	C:/My%20Web%20Sites/mobile-app/mobilekit.bragherstudio.com/view29/assets/img/icon/72x72.png	(from https://mobilekit.bragherstudio.com/view29/index.html)
09:57:51	78080/78080	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Feb%202022%2009:17:16%20GMT	https://mobilekit.bragherstudio.com/view29/assets/js/lib/bootstrap.min.js	C:/My%20Web%20Sites/mobile-app/mobilekit.bragherstudio.com/view29/assets/js/lib/bootstrap.min.js	(from https://mobilekit.bragherstudio.com/view29/index.html)
09:57:51	119513/119513	---MCZ	200	added ('OK')	application/javascript	etag:%221d2d9-GfzwmKFRyI8c779QM/TeRXFTXj0%22	https://unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.js	C:/My%20Web%20Sites/mobile-app/unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.js	(from https://mobilekit.bragherstudio.com/view29/index.html)
